ID,Nome,Telefone,Email,Rua_Numero,Bairro,Cidade,Estado,Valor gasto 
1,Lucas Moura,1198765432,lucas.moura@email.com,"Sítio de Cardoso, 49",Manacas,Lima,São Paulo,29017
2,Julia Andrade,219876543,julia.andrade@email.com,"Trecho Mariane Teixeira, 90",Santo André,Monteiro,Tocantins,7834
3,Rafael Dias,319876543,rafael.dias@email.com,"Setor de Duarte, 114",Serra,Sales da Praia,Paraíba,4071
4,Carla Souza,419876543,carla.souza@email.com,"Recanto Ana Lívia Lopes, 53",Vila Suzana Primeira Seção,das Neves,Pará,17512
5,Felipe Neto,519876543,felipe.neto@email.com,"Jardim de Monteiro, 11",Alto Das Antenas,Souza,São Paulo,24307
6,Camila Rocha,619876543,camila.rocha@email.com,"Pátio Leonardo Nunes, 18",São Marcos,Cardoso do Norte,Maranhão,7894
7,André Lima,719876543,andre.lima@email.com,Distrito Mendes,Ventosa,Moraes,Sergipe,30894
8,Fernanda Costa,819876543,fernanda.costa@email.com,"Jardim de Nogueira, 59",Aparecida 7ª Seção,Campos do Sul,Roraima,4692
9,Roberto Silva,919876543,roberto.silva@email.com,"Vereda Vitor Gabriel Moura, 694",Conjunto Celso Machado,Almeida do Oeste,Rio de Janeiro,37249
10,Igor Rodrigues,435602751,novaesclara@ig.com.br,"Setor Cardoso, 54",São Benedito,das Neves,Goiás,10310
11,Eloah Pereira,521777811,diegocardoso@aragao.org,"Trevo Luiz Henrique Novaes, 5",São José,Viana,Pará,8614
12,Maria Eduarda Cardoso,856983179,iferreira@hotmail.com,"Colônia Bruno Ribeiro, 38",Vila São Geraldo,Carvalho,Amazonas,34522
13,Stella Aragão,722925182,moreiralivia@rocha.org,Rua Gustavo Henrique Monteiro,Tres Marias,Rodrigues Verde,Rio de Janeiro,32013
14,Ana Carolina Melo,498801871,azevedomaria-luiza@oliveira.com,"Passarela Felipe Azevedo, 53",Aeroporto,Fernandes do Sul,Rio de Janeiro,46130
